id,symbol,name,image,current_price,market_cap,market_cap_rank,fully_diluted_valuation,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,ath_date,atl,atl_change_percentage,atl_date,roi,last_updated,price_change_percentage_30d_in_currency,price_change_percentage_7d_in_currency,zone,drawdown_pct,suspected_wash_trading,momentum,is_gold,btc_change_24h,btc_change_7d,rs_24h,rs_7d,rs_available,rs_strong_24h,rs_leader_24h,ratio,range,volume_recovery,price_resilience,timeframe_analysis,timeframe_classification,social_analysis,seller_exhaustion,volatility_14d,ratio_surge,sector,accumulation_score,accumulation_signal,accumulation_slope,is_silent_accumulation,accumulation_reason,source_range,quant_score,social_score,final_score,ranking,persistence_count_3d,persistence_count_7d,persistence_count_14d,first_seen,max_persistence_ever,persistence_days,is_confirmed_leader,social_explosion,social_validation,rs_strong
pha,pha,PHALA,https://coin-images.coingecko.com/coins/images/12451/large/phala.png?1696512270,0.04238296,35871338,587,42742263,36951385,0.04477049,0.03983816,0.00154371,3.77997,1706442.0,4.99472,839247516.6383796,1000000000.0,1000000000.0,1.39,-96.88245,2021-05-15T04:20:32.741Z,0.02120268,104.47554,2026-03-01T20:41:27.308Z,,2026-05-29T12:36:45.056Z,32.24540839732473,22.120349186125658,breakout,0.9695,False,low,False,-0.19311,,3.97308,,True,True,True,1.0301089131383947,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.384,weak,0.0902,False,Sinal fraco: slope=0.0902,10_49m_range,1.7,0,1.02,1,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,True
ondo-u-s-dollar-token,usdon,Ondo U.S. Dollar Token,https://coin-images.coingecko.com/coins/images/68688/large/usdon_160x160.png?1756268513,1.0,61406284,425,61406284,62336726,1.0,1.0,0.0,0.0,-1534960.9117605463,-2.43872,61406284.38505011,61406284.38505011,,1.0,0.0,2025-08-27T08:45:01.644Z,1.0,0.0,2025-08-27T08:45:01.644Z,,2026-05-29T12:36:37.507Z,0.0,0.0,breakout,0.0,False,low,False,-0.15925,,0.15925,,True,False,False,1.015152227742685,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.522,moderate,0.0302,False,Possível acumulação: slope=0.0302,50m_range,1.5,0,0.9,1,0,0,0,20260506,0,0,False,False,NOT_APPLICABLE,False
paris-saint-germain-fan-token,psg,Paris Saint-Germain Fan Token,https://coin-images.coingecko.com/coins/images/11620/large/PSG.png?1741772294,1.095,17549796,933,21727757,15386602,1.15,1.055,-0.05532319969249233,-4.81073,-972718.2805369683,-5.25155,16065415.9143673,19890000.0,19890000.0,58.79,-98.16275,2021-04-27T04:13:36.909Z,0.600374,79.90368,2026-02-06T00:30:21.119Z,,2026-05-29T12:36:44.775Z,40.16622346290788,5.160346897450732,strong,0.9814,False,low,False,-0.19311,,-4.6176200000000005,,True,False,False,0.8767396498512006,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0764,False,Ratio em queda — sem acumulação,10_49m_range,1.0,0,0.6,2,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,False
memecoin-2,meme,Memecoin,https://coin-images.coingecko.com/coins/images/32528/large/memecoin_%282%29.png?1698912168,0.00048877,31103883,671,33789200,19240658,0.00051093,0.00046491,2.196e-05,4.70335,1521357.0,5.14276,63516387916.66666,69000000000.0,69000000000.0,0.056324,-99.13271,2024-03-04T17:30:21.569Z,0.00046386,5.30942,2026-05-28T12:25:43.677Z,,2026-05-29T12:36:46.372Z,-17.029670782605557,-6.772028008867932,strong,0.9913,False,low,False,-0.19311,,4.89646,,True,True,True,0.618593440568176,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0301,False,Ratio em queda — sem acumulação,10_49m_range,0.9,0,0.54,3,0,0,0,20260503,0,0,False,False,NOT_APPLICABLE,True
degen-base,degen,Degen,https://coin-images.coingecko.com/coins/images/34515/large/android-chrome-512x512.png?1706198225,0.00094412,35001603,600,35001603,18353708,0.00117835,0.00080419,0.00013993,17.39962,5936505.0,20.42486,36965730333.0,36965730333.0,,0.064543,-98.52657,2024-03-31T20:22:27.147Z,2.255e-05,4117.01852,2024-01-15T05:47:46.931Z,,2026-05-29T12:36:46.693Z,32.34384373045437,-2.2135130554615636,strong,0.9854,False,low,False,-0.19311,,17.59273,,True,True,True,0.5243676411048945,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0665,False,Ratio em queda — sem acumulação,10_49m_range,0.9,0,0.54,4,0,0,0,20260514,0,0,False,False,NOT_APPLICABLE,True
paxos-standard,usdp,Pax Dollar,https://coin-images.coingecko.com/coins/images/6013/large/Pax_Dollar.png?1696506427,0.999519,31938655,658,31938655,17539665,0.999726,0.999043,0.00019946,0.01996,6580.58,0.02061,31954027.03052443,31954027.03052443,,1.18,-15.62419,2024-04-16T16:20:21.365Z,0.863529,15.74881,2021-05-19T13:14:42.046Z,"{'times': -0.0004810798985352, 'currency': 'usd', 'percentage': -0.04810798985352}",2026-05-29T12:36:26.114Z,0.019393454736093906,0.025863837701912404,strong,0.1529,False,low,False,-0.19311,,0.21307,,True,False,True,0.5491673021296608,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.714,strong,0.0364,True,"Acumulação silenciosa: slope=0.0364, consistência=58%",10_49m_range,0.5,0,0.3,5,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,False
grx-chain,grx,GRX Chain,https://coin-images.coingecko.com/coins/images/71011/large/Untitled_design_%283%29.png?1765178472,9.73,92480362,291,97201837,21479229,9.89,9.32,0.409091,4.38848,3806567.0,4.29278,9512395.0,9998039.0,10000000.0,13.26,-26.68403,2026-02-26T22:25:48.793Z,0.868057,1019.96012,2026-02-14T17:00:45.524Z,,2026-05-29T12:36:37.631Z,-4.500029657390038,2.202243686047983,early_accumulation,0.2662,False,low,False,-0.15925,,4.5477300000000005,,True,True,True,0.23225718991022115,50m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,-0.0023,False,Ratio em queda — sem acumulação,50m_range,0.4,0,0.24,2,0,0,0,20260509,0,0,False,False,NOT_APPLICABLE,True
amd-ondo-tokenized-stock,amdon,AMD (Ondo Tokenized Stock),https://coin-images.coingecko.com/coins/images/68589/large/amdon_160x160.png?1756129814,518.9,15044400,1001,15044400,7064127,524.45,492.33,26.56,5.39558,1234285.0,8.93754,28979.94985155805,28979.94985155805,,571.96,-9.22323,2025-11-02T23:00:48.960Z,149.82,246.5608,2025-09-08T14:15:29.508Z,,2026-05-29T12:37:45.281Z,57.80831088963464,13.566233651239603,early_accumulation,0.0928,False,low,False,-0.19311,,5.58869,,True,True,True,0.46955192629815745,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10_49m_range,0.4,0,0.24,6,0,0,0,20260528,0,0,False,False,NOT_APPLICABLE,True
aixbt,aixbt,aixbt,https://coin-images.coingecko.com/coins/images/51784/large/3.png?1731981138,0.02778179,27650525,725,27799016,11350787,0.02895002,0.02628421,0.0010751,4.0256,1189323.0,4.49459,994658423.1010208,1000000000.0,1000000000.0,0.942578,-97.0488,2025-01-16T11:56:02.862Z,0.01797721,54.73679,2026-02-23T01:30:43.221Z,,2026-05-29T12:36:47.758Z,-3.7219822459632472,-14.100039014582816,early_accumulation,0.9705,False,low,False,-0.19311,,4.21871,,True,True,True,0.4105089143877015,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,AI,0.0,none,-0.0016,False,Ratio em queda — sem acumulação,10_49m_range,0.4,0,0.24,7,0,0,0,20260502,0,0,False,False,NOT_APPLICABLE,True
stargate-finance,stg,Stargate Finance,https://coin-images.coingecko.com/coins/images/24413/large/STG_LOGO.png?1696523595,0.173398,20462751,859,20462751,7328093,0.176054,0.150173,0.01865043,12.05213,2258689.0,12.40761,117631287.01730143,117631287.01730143,1000000000.0,4.14,-95.76567,2022-04-02T00:00:00.000Z,0.104476,67.85104,2025-12-31T19:01:22.813Z,,2026-05-29T12:36:49.321Z,-21.52591192514459,4.402687918934865,early_accumulation,0.9581,False,low,False,-0.19311,,12.24524,,True,True,True,0.35811866156217215,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.188,none,0.0023,False,Dados insuficientes,10_49m_range,0.4,0,0.24,8,0,0,0,20260510,0,0,False,False,NOT_APPLICABLE,True
pocket-network,pokt,Pocket Network,https://coin-images.coingecko.com/coins/images/22506/large/POKT.jpg?1703257310,0.0111699,22458655,801,26250834,7330360,0.01207979,0.00957382,0.00156252,16.26375,3107744.0,16.05993,2011680128.050819,2351355446.249961,,3.11,-99.62594,2022-01-16T07:15:26.325Z,0.00883573,31.83651,2025-04-17T04:55:47.616Z,,2026-05-29T12:36:45.585Z,-6.950379792449652,4.818217547595009,early_accumulation,0.9964,False,low,False,-0.19311,,16.456860000000002,,True,True,True,0.3263935440479405,10_49m_range,False,False,"{'short_term': {'has_spike': False, 'momentum_initial': 'low', 'volume_mc_ratio': 0, 'is_candidate': False}, 'medium_term': {'persistence_days': 0, 'volume_recovery_consistent': False, 'volatility_reducing': False, 'is_emerging_leader': False}, 'long_term': {'trend_clear': False, 'sustainable_growth': False, 'consistency_score': 0, 'is_confirmed_leader': False}, 'classification': 'MONITORING'}",MONITORING,"{""should_analyze"": false, ""combined_validation"": ""NOT_APPLICABLE""}",False,0.0,False,Other,0.0,none,0.0,False,Apenas 1 snapshots (mínimo 3),10_49m_range,0.4,0,0.24,9,0,0,0,20260512,0,0,False,False,NOT_APPLICABLE,True
